Base_Fare,Days_to_Journey,Seats_Booked_Percentage,Is_Premium,Target_Fare
2678,32,98,0,2678.0
2078,66,86,1,3117.0
940,59,27,0,940.0
1459,116,97,0,1459.0
2972,10,75,1,4458.0
1583,2,57,1,2216.2
2122,66,42,0,2122.0
2219,60,67,0,2219.0
1997,88,92,1,2995.5
1195,17,82,0,1195.0
1451,96,37,0,1451.0
2043,16,44,0,2043.0
1763,16,19,1,1763.0
2381,46,74,0,2381.0
1754,39,51,0,1754.0
2063,117,94,1,3094.5
1929,31,18,1,1929.0
2438,107,69,1,3657.0
1896,88,24,0,1896.0
2637,1,66,0,2937.0
1808,11,78,1,2712.0
1800,119,31,0,1800.0
1706,85,73,0,1706.0
1372,4,50,0,1372.0
2168,71,96,0,2168.0
1682,26,80,1,2523.0
1109,111,65,1,1663.5
1879,50,32,0,1879.0
1834,12,34,1,2200.7999999999997
1048,95,15,0,1048.0
717,81,43,0,717.0
1657,97,72,1,2485.5
1083,75,18,1,1083.0
1063,92,69,0,1063.0
2398,96,58,0,2398.0
2031,65,60,0,2031.0
1895,47,69,0,1895.0
1536,92,79,1,2304.0
2253,53,46,1,2928.9
1920,106,40,0,1920.0
2889,71,50,0,2889.0
963,2,71,1,1444.5
1691,106,67,0,1691.0
2036,24,23,1,2239.6000000000004
1098,4,45,0,1098.0
2560,108,45,1,3328.0
401,19,88,0,401.0
1041,26,17,0,1041.0
2667,75,35,0,2667.0
1989,40,45,1,2585.7000000000003
1254,50,57,1,1755.6
2159,43,94,0,2159.0
2832,75,37,0,2832.0
2061,109,77,0,2061.0
1553,67,71,0,1553.0
1476,12,89,1,2214.0
2107,67,95,1,3160.5
2095,106,85,1,3142.5
2133,27,89,0,2133.0
1839,113,60,0,1839.0
2694,54,51,1,3771.6
1235,66,38,0,1235.0
602,49,91,1,903.0
522,16,19,1,522.0
800,2,48,1,1040.0
1166,60,91,1,1749.0
693,54,10,0,693.0
2727,30,48,1,3545.1
597,84,30,0,597.0
2330,38,74,1,3495.0
2591,28,24,1,2850.1000000000004
1008,25,13,1,1008.0
1547,96,69,1,2320.5
586,10,70,0,586.0
2911,60,29,0,2911.0
2194,42,19,0,2194.0
1059,40,96,0,1059.0
2355,97,43,1,3061.5
2850,77,57,0,2850.0
1769,105,42,0,1769.0
2386,118,70,1,3579.0
1934,42,19,0,1934.0
546,47,63,0,546.0
2134,37,93,0,2134.0
2243,118,74,0,2243.0
888,80,86,1,1332.0
2359,109,10,1,2359.0
2063,22,14,0,2063.0
2998,57,89,1,4497.0
2785,84,24,0,2785.0
1040,114,37,0,1040.0
2202,107,32,0,2202.0
2920,27,26,1,3212.0000000000005
2369,41,22,1,2605.9
2598,80,23,1,2857.8
1838,34,20,1,2021.8000000000002
2034,32,37,1,2440.7999999999997
662,90,51,1,926.8
2187,89,70,0,2187.0
2591,66,73,1,3886.5
2793,12,40,0,2793.0
1023,40,90,0,1023.0
1416,73,82,1,2124.0
1280,76,19,0,1280.0
2449,90,17,0,2449.0
1727,73,30,0,1727.0
2701,10,86,1,4051.5
852,96,68,1,1278.0
1583,98,59,0,1583.0
2456,48,78,1,3684.0
2082,20,79,0,2082.0
2655,39,39,1,3186.0
1554,60,26,0,1554.0
803,66,84,0,803.0
2599,65,29,1,2858.9
2501,51,57,1,3501.3999999999996
2096,36,82,1,3144.0
1027,24,11,1,1027.0
986,118,46,1,1281.8
2048,27,10,0,2048.0
1843,2,13,0,2143.0
1845,31,63,0,1845.0
503,57,34,1,603.6
653,78,12,1,653.0
2957,66,18,0,2957.0
1896,29,95,0,1896.0
498,15,96,0,498.0
2600,12,85,0,2600.0
2284,101,83,1,3426.0
2319,28,43,0,2319.0
1277,84,52,1,1787.8
737,103,83,0,737.0
1356,24,31,1,1627.2
2104,21,79,1,3156.0
560,10,11,1,560.0
2003,110,75,1,3004.5
797,78,41,0,797.0
1700,101,25,0,1700.0
1215,18,85,0,1215.0
1927,88,10,1,1927.0
2319,14,81,0,2319.0
1815,34,57,0,1815.0
1558,58,59,0,1558.0
1618,76,22,1,1779.8000000000002
800,22,24,1,880.0000000000001
1039,70,62,1,1558.5
859,36,53,0,859.0
1354,45,17,0,1354.0
869,36,83,0,869.0
1445,22,55,1,2022.9999999999998
2093,78,78,0,2093.0
2485,80,28,1,2733.5
2677,61,47,1,3480.1
962,100,20,1,1058.2
2885,56,52,1,4038.9999999999995
2199,89,29,0,2199.0
2474,96,29,0,2474.0
625,33,30,1,750.0
1197,45,91,0,1197.0
2731,36,66,1,4096.5
1359,20,59,0,1359.0
1904,18,83,0,1904.0
852,38,35,1,1022.4
1215,67,39,1,1458.0
1058,23,82,1,1587.0
946,96,40,1,1229.8
1615,109,51,0,1615.0
416,16,77,1,624.0
1643,59,70,0,1643.0
2605,69,70,1,3907.5
2924,68,79,0,2924.0
1469,21,87,1,2203.5
2965,104,77,0,2965.0
2546,115,99,0,2546.0
2168,78,26,0,2168.0
1460,103,28,1,1606.0000000000002
2727,95,60,1,4090.5
2944,78,79,1,4416.0
701,70,72,1,1051.5
580,12,84,0,580.0
1006,16,89,0,1006.0
1099,81,39,0,1099.0
1392,109,34,1,1670.3999999999999
1539,87,84,0,1539.0
590,14,80,0,590.0
2700,61,35,1,3240.0
1380,71,65,1,2070.0
2406,46,31,0,2406.0
1584,32,98,1,2376.0
527,15,28,1,579.7
2465,44,40,1,3204.5
2216,17,35,1,2659.2
2158,41,51,0,2158.0
969,54,50,0,969.0
1746,111,32,0,1746.0
2295,44,56,0,2295.0
1025,98,22,0,1025.0
2086,5,98,1,3129.0
554,109,75,0,554.0
2937,27,75,0,2937.0
1809,116,25,1,1989.9
1184,87,82,1,1776.0
645,104,37,1,774.0
1900,78,86,0,1900.0
2105,79,44,1,2736.5
937,43,50,1,1311.8
2290,97,86,1,3435.0
2241,117,40,0,2241.0
1320,31,94,1,1980.0
2855,99,41,1,3711.5
924,17,63,0,924.0
1929,92,81,1,2893.5
435,83,68,0,435.0
1084,110,50,0,1084.0
419,54,75,1,628.5
2768,62,63,0,2768.0
2959,87,49,1,3846.7000000000003
799,32,37,1,958.8
1371,40,46,1,1782.3
2306,13,74,1,3459.0
2918,84,83,0,2918.0
1566,35,64,1,2349.0
1515,5,13,1,1515.0
1233,73,19,1,1233.0
2223,29,56,0,2223.0
2382,70,84,0,2382.0
1253,25,23,1,1378.3000000000002
450,95,47,0,450.0
974,22,21,0,974.0
1548,66,54,1,2167.2
2597,45,26,1,2856.7000000000003
2761,69,89,1,4141.5
2752,91,44,1,3577.6
2115,89,75,1,3172.5
1081,72,84,0,1081.0
1237,119,50,1,1731.8
1477,1,76,1,2215.5
2891,84,38,1,3469.2
2711,44,27,1,2982.1000000000004
1995,87,29,1,2194.5
404,96,23,0,404.0
1526,75,43,1,1983.8
1619,39,58,0,1619.0
1173,111,63,1,1759.5
1276,54,40,1,1658.8
1391,88,67,1,2086.5
446,75,51,0,446.0
668,29,67,1,1002.0
769,54,91,1,1153.5
1035,90,39,1,1242.0
1529,16,34,1,1834.8
2093,99,72,1,3139.5
2082,20,28,1,2290.2000000000003
1056,46,81,1,1584.0
519,67,17,0,519.0
1230,65,12,1,1230.0
2210,58,76,1,3315.0
1481,53,95,1,2221.5
2374,111,90,0,2374.0
1769,1,26,0,2069.0
1140,81,23,1,1254.0
516,66,18,0,516.0
2253,29,71,1,3379.5
1550,84,30,1,1860.0
2331,70,85,0,2331.0
1412,8,46,1,1835.6000000000001
2064,29,20,0,2064.0
1481,112,29,0,1481.0
1033,51,44,0,1033.0
912,33,62,1,1368.0
1519,3,56,1,2126.6
1541,60,84,1,2311.5
959,35,61,1,1438.5
887,69,17,1,887.0
1296,91,13,1,1296.0
1612,108,36,1,1934.3999999999999
1103,76,53,0,1103.0
1870,84,49,1,2431.0
980,109,56,1,1372.0
2694,20,53,1,3771.6
553,73,57,0,553.0
2079,39,94,0,2079.0
1396,4,61,0,1396.0
1643,115,93,1,2464.5
1492,118,77,0,1492.0
1408,19,20,0,1408.0
2541,102,86,1,3811.5
2173,91,82,1,3259.5
1357,45,13,1,1357.0
852,43,85,0,852.0
1627,13,82,1,2440.5
2665,13,86,1,3997.5
2921,60,57,1,4089.3999999999996
2879,57,35,1,3454.7999999999997
2788,86,86,1,4182.0
950,92,48,1,1235.0
2035,52,67,0,2035.0
1712,111,28,1,1883.2
2157,53,97,0,2157.0
756,109,92,0,756.0
2470,86,86,1,3705.0
2185,43,86,0,2185.0
2969,83,67,0,2969.0
2181,72,37,0,2181.0
2889,116,75,1,4333.5
2031,72,19,0,2031.0
1415,42,95,0,1415.0
1748,90,86,0,1748.0
915,112,67,0,915.0
735,115,82,1,1102.5
2182,26,23,1,2400.2000000000003
2705,23,93,0,2705.0
896,43,24,1,985.6000000000001
1295,77,42,1,1683.5
2607,28,26,0,2607.0
1251,9,33,1,1501.2
2087,20,39,1,2504.4
2331,56,71,0,2331.0
2827,83,22,0,2827.0
1968,112,71,1,2952.0
1356,39,56,1,1898.3999999999999
2036,51,25,1,2239.6000000000004
1691,12,75,1,2536.5
1840,79,90,0,1840.0
1591,95,52,0,1591.0
1466,55,17,0,1466.0
684,78,12,0,684.0
2844,11,21,0,2844.0
411,26,93,1,616.5
2030,42,25,1,2233.0
2946,27,87,0,2946.0
1153,11,89,0,1153.0
2482,38,68,0,2482.0
489,98,58,1,684.5999999999999
1175,43,72,1,1762.5
2025,19,71,1,3037.5
817,64,58,0,817.0
514,6,60,0,514.0
1016,46,42,0,1016.0
1225,116,39,0,1225.0
2049,102,68,0,2049.0
1916,113,85,1,2874.0
812,42,24,0,812.0
1128,92,91,1,1692.0
1075,65,32,1,1290.0
2292,99,87,1,3438.0
2904,104,54,1,4065.6
2639,72,71,1,3958.5
1522,59,88,0,1522.0
1971,52,80,0,1971.0
1377,118,24,0,1377.0
1408,47,55,1,1971.1999999999998
2543,7,73,1,3814.5
2087,11,55,1,2921.7999999999997
436,103,65,1,654.0
1948,61,53,1,2727.2
2726,68,84,1,4089.0
2664,25,38,0,2664.0
1272,12,71,1,1908.0
2221,26,98,1,3331.5
1696,102,61,0,1696.0
2509,110,63,1,3763.5
995,12,97,0,995.0
2303,43,66,0,2303.0
1128,51,92,0,1128.0
1765,117,75,1,2647.5
796,37,31,0,796.0
1098,46,29,0,1098.0
2624,53,42,1,3411.2000000000003
2035,88,81,0,2035.0
795,80,34,1,954.0
2892,13,55,1,4048.7999999999997
475,89,82,0,475.0
664,118,66,1,996.0
2902,54,96,1,4353.0
2219,57,14,0,2219.0
1117,116,64,0,1117.0
1250,118,70,0,1250.0
1790,4,98,0,1790.0
543,75,17,1,543.0
1284,96,25,0,1284.0
795,49,57,0,795.0
1892,7,70,0,1892.0
1567,110,24,1,1723.7
1462,11,74,1,2193.0
2556,92,31,1,3067.2
1465,54,12,1,1465.0
1609,105,63,1,2413.5
2845,87,23,0,2845.0
1033,45,45,1,1342.9
1556,23,91,1,2334.0
1638,114,91,1,2457.0
1132,28,76,0,1132.0
634,107,19,0,634.0
1150,111,58,1,1610.0
1353,57,74,0,1353.0
2939,26,66,1,4408.5
1942,25,36,0,1942.0
1597,54,84,0,1597.0
2076,29,14,1,2076.0
1591,83,80,0,1591.0
2617,97,92,1,3925.5
1816,36,66,1,2724.0
1617,14,24,1,1778.7
1940,78,85,0,1940.0
2476,35,39,0,2476.0
1845,30,29,1,2029.5000000000002
2786,92,46,1,3621.8
1919,17,12,0,1919.0
1788,67,82,1,2682.0
2256,80,50,0,2256.0
1765,110,48,0,1765.0
899,30,35,0,899.0
2080,116,11,1,2080.0
910,93,32,1,1092.0
616,45,32,0,616.0
1724,79,94,1,2586.0
1555,110,25,1,1710.5000000000002
2227,89,18,0,2227.0
2210,51,22,0,2210.0
2892,102,37,1,3470.4
1605,106,36,0,1605.0
2614,47,60,1,3921.0
490,53,73,0,490.0
1113,64,61,0,1113.0
2281,118,90,1,3421.5
438,116,47,1,569.4
572,38,74,1,858.0
1052,64,27,1,1157.2
1153,87,72,1,1729.5
1643,89,60,0,1643.0
1481,106,18,0,1481.0
2083,7,22,1,2291.3
2923,22,49,0,2923.0
855,81,64,1,1282.5
1228,82,88,0,1228.0
1294,113,52,0,1294.0
1784,41,53,1,2497.6
2358,74,77,1,3537.0
2834,10,42,1,3684.2000000000003
2396,57,33,0,2396.0
2795,7,45,1,3633.5
589,112,19,1,589.0
904,50,29,1,994.4000000000001
1614,102,84,1,2421.0
1931,91,21,1,2124.1000000000004
1223,52,71,1,1834.5
1328,33,27,0,1328.0
1333,1,72,0,1633.0
1540,108,93,0,1540.0
533,53,34,0,533.0
2505,60,21,1,2755.5
1084,34,30,1,1300.8
2620,4,34,0,2620.0
2252,17,20,0,2252.0
1214,4,73,0,1214.0
1572,43,82,1,2358.0
479,118,59,1,670.5999999999999
602,90,71,1,903.0
1652,4,98,0,1652.0
2099,1,58,0,2399.0
1650,71,23,0,1650.0
2082,94,10,0,2082.0
1955,50,90,0,1955.0
2494,73,34,1,2992.7999999999997
1656,61,68,1,2484.0
1949,35,81,1,2923.5
1566,8,78,1,2349.0
1796,24,14,1,1796.0
870,83,28,0,870.0
1435,36,32,1,1722.0
1753,50,18,0,1753.0
1367,116,59,1,1913.8
757,43,25,0,757.0
1067,27,42,0,1067.0
772,32,11,0,772.0
1431,78,23,0,1431.0
1545,18,10,0,1545.0
1771,28,99,0,1771.0
489,29,67,1,733.5
939,16,98,0,939.0
1268,99,25,0,1268.0
440,47,88,1,660.0
1139,59,99,0,1139.0
2346,31,56,1,3284.3999999999996
2949,4,53,1,4128.599999999999
1624,37,89,0,1624.0
1328,17,23,0,1328.0
2436,39,33,1,2923.2
2908,48,64,0,2908.0
1324,46,24,1,1456.4
1981,90,92,0,1981.0
789,48,81,1,1183.5
2017,39,43,0,2017.0
655,105,11,0,655.0
1108,4,36,1,1329.6
2238,30,83,1,3357.0
2344,30,96,1,3516.0
2897,22,81,1,4345.5
409,75,32,0,409.0
1197,66,77,1,1795.5
1276,108,23,1,1403.6000000000001
1428,12,72,0,1428.0
1415,94,74,0,1415.0
2224,36,77,1,3336.0
773,18,72,0,773.0
2593,90,99,1,3889.5
623,53,90,0,623.0
1662,71,96,1,2493.0
2624,1,73,0,2924.0
2202,58,41,1,2862.6
1252,90,88,1,1878.0
462,87,22,0,462.0
1640,90,75,0,1640.0
1088,109,28,1,1196.8000000000002
1884,6,33,1,2260.7999999999997
2033,70,97,0,2033.0
2552,44,20,0,2552.0
910,72,68,0,910.0
784,24,95,0,784.0
804,86,24,0,804.0
917,19,19,0,917.0
875,101,50,0,875.0
2400,18,36,0,2400.0
2068,95,69,0,2068.0
2293,101,82,1,3439.5
1860,30,61,0,1860.0
1113,42,37,0,1113.0
482,33,74,1,723.0
1568,74,26,1,1724.8000000000002
2904,101,53,1,4065.6
2301,12,19,1,2301.0
2448,118,72,1,3672.0
450,94,91,1,675.0
1084,27,56,0,1084.0
1116,39,47,1,1450.8
1869,9,79,1,2803.5
848,118,85,1,1272.0
1280,21,62,0,1280.0
887,76,87,1,1330.5
2223,119,53,0,2223.0
2481,29,83,1,3721.5
2542,33,63,1,3813.0
1974,107,29,0,1974.0
2601,62,88,0,2601.0
649,117,40,1,843.7
1073,15,16,0,1073.0
837,2,67,0,1137.0
2565,52,19,1,2565.0
1170,103,19,1,1170.0
667,117,48,1,867.1
2384,44,37,0,2384.0
1477,54,39,1,1772.3999999999999
635,18,46,1,825.5
788,3,76,0,788.0
1162,7,52,0,1162.0
2248,43,88,1,3372.0
2848,82,94,0,2848.0
1023,108,61,1,1534.5
1652,38,65,0,1652.0
977,37,85,1,1465.5
2522,58,77,0,2522.0
834,33,18,0,834.0
2550,108,32,0,2550.0
1163,59,72,0,1163.0
1729,95,70,1,2593.5
2545,11,49,0,2545.0
1758,68,53,1,2461.2
2882,82,95,0,2882.0
846,68,33,0,846.0
2417,113,60,1,3625.5
1731,98,67,0,1731.0
648,93,99,0,648.0
565,88,42,1,734.5
1758,22,25,0,1758.0
1419,66,31,1,1702.8
941,44,66,0,941.0
1158,6,71,0,1158.0
2528,42,91,0,2528.0
2580,25,80,1,3870.0
1196,119,99,0,1196.0
537,57,81,0,537.0
2631,85,79,0,2631.0
1753,55,39,0,1753.0
2275,16,32,0,2275.0
468,95,41,0,468.0
2993,14,95,0,2993.0
2500,39,66,0,2500.0
1873,28,18,0,1873.0
604,96,40,1,785.2
2573,92,80,0,2573.0
442,51,18,1,442.0
2306,119,22,1,2536.6000000000004
2558,49,67,1,3837.0
1160,9,12,0,1160.0
2542,58,44,1,3304.6
2394,45,30,1,2872.7999999999997
2335,22,73,1,3502.5
1299,32,61,0,1299.0
759,69,43,1,986.7
2119,87,44,0,2119.0
680,69,24,1,748.0000000000001
2287,42,15,1,2287.0
1066,53,94,0,1066.0
492,96,41,0,492.0
1071,59,61,1,1606.5
2369,74,92,1,3553.5
460,39,37,1,552.0
1428,15,94,0,1428.0
1889,71,73,0,1889.0
1003,29,88,1,1504.5
1081,111,87,1,1621.5
2981,3,28,0,2981.0
1828,83,24,0,1828.0
2680,10,15,1,2680.0
923,92,82,0,923.0
2793,29,93,1,4189.5
2993,79,47,0,2993.0
2368,35,35,1,2841.6
1501,6,91,1,2251.5
2153,12,60,1,3229.5
2236,111,82,0,2236.0
2696,38,62,1,4044.0
2494,77,65,1,3741.0
1544,93,68,0,1544.0
2661,19,79,1,3991.5
2686,67,87,1,4029.0
1479,8,67,1,2218.5
2797,8,97,0,2797.0
506,119,22,0,506.0
447,84,52,0,447.0
736,47,85,0,736.0
1449,4,60,1,2173.5
1680,51,28,0,1680.0
2455,85,30,0,2455.0
1024,67,92,0,1024.0
2290,45,33,1,2748.0
1676,8,35,1,2011.1999999999998
2115,87,54,1,2961.0
702,16,37,0,702.0
1038,77,91,1,1557.0
455,67,38,1,546.0
1125,112,26,0,1125.0
925,9,77,1,1387.5
873,60,53,0,873.0
427,78,70,0,427.0
2525,77,77,1,3787.5
764,117,83,0,764.0
925,71,34,0,925.0
1735,15,76,0,1735.0
1282,71,11,0,1282.0
1430,102,98,0,1430.0
1426,98,58,0,1426.0
2046,41,79,1,3069.0
1318,22,35,0,1318.0
2810,24,81,0,2810.0
2174,113,36,0,2174.0
1931,101,98,0,1931.0
2306,44,27,1,2536.6000000000004
1615,1,63,1,2422.5
2054,10,10,0,2054.0
884,107,70,1,1326.0
2475,80,12,0,2475.0
1113,110,77,0,1113.0
1462,72,50,0,1462.0
2376,56,46,0,2376.0
1696,113,60,1,2544.0
1654,89,24,1,1819.4
2533,50,17,0,2533.0
525,12,47,0,525.0
936,89,92,1,1404.0
2592,81,65,1,3888.0
2472,60,56,0,2472.0
2003,26,99,1,3004.5
466,110,19,0,466.0
632,112,87,1,948.0
2556,78,58,1,3578.3999999999996
1569,41,50,1,2196.6
2558,36,92,1,3837.0
2675,23,39,0,2675.0
510,43,14,0,510.0
1893,6,80,1,2839.5
2481,111,92,0,2481.0
1022,69,40,1,1328.6000000000001
2872,43,61,1,4308.0
1941,25,97,0,1941.0
1705,18,32,0,1705.0
2161,62,57,0,2161.0
2375,13,49,1,3087.5
2762,43,15,0,2762.0
1276,78,47,0,1276.0
2389,28,50,0,2389.0
1712,18,36,0,1712.0
1860,59,84,1,2790.0
2724,60,78,1,4086.0
2133,63,66,1,3199.5
2005,57,26,1,2205.5
1926,92,80,1,2889.0
2963,51,56,1,4148.2
2797,56,88,1,4195.5
2030,27,22,0,2030.0
1560,32,20,1,1716.0000000000002
1158,111,99,1,1737.0
642,9,95,1,963.0
2990,104,33,1,3588.0
1463,96,82,0,1463.0
628,84,13,1,628.0
2995,92,55,1,4193.0
1319,97,27,0,1319.0
1646,68,52,1,2304.3999999999996
405,46,89,1,607.5
867,98,42,1,1127.1000000000001
2155,112,19,1,2155.0
474,67,82,1,711.0
403,26,68,1,604.5
2270,8,40,1,2951.0
1045,6,37,0,1045.0
517,80,69,0,517.0
2029,24,12,1,2029.0
2951,48,64,0,2951.0
2421,103,23,1,2663.1000000000004
1346,94,67,0,1346.0
1864,45,98,1,2796.0
593,13,24,0,593.0
1246,69,11,1,1246.0
1815,25,33,0,1815.0
1858,20,87,0,1858.0
2620,118,73,1,3930.0
2068,82,80,1,3102.0
2773,111,33,0,2773.0
1833,82,36,0,1833.0
1541,66,46,1,2003.3000000000002
2210,74,48,0,2210.0
1123,119,72,1,1684.5
624,45,88,0,624.0
931,114,35,0,931.0
512,47,74,1,768.0
2587,63,13,1,2587.0
958,76,38,1,1149.6
2448,111,10,0,2448.0
2537,77,59,0,2537.0
1053,114,95,0,1053.0
719,111,20,1,790.9000000000001
1973,55,83,0,1973.0
2228,75,68,0,2228.0
2317,19,71,1,3475.5
538,35,90,0,538.0
2426,103,45,0,2426.0
2706,53,65,1,4059.0
1301,26,99,1,1951.5
1089,110,30,1,1306.8
2439,14,22,1,2682.9
409,118,18,1,409.0
660,45,20,1,726.0000000000001
2342,44,84,1,3513.0
2073,88,79,1,3109.5
2619,105,10,1,2619.0
2460,65,79,0,2460.0
1591,51,86,1,2386.5
2019,43,95,1,3028.5
720,119,65,0,720.0
1742,86,40,1,2264.6
2036,23,95,0,2036.0
2776,56,46,0,2776.0
2394,118,56,1,3351.6
2343,19,87,0,2343.0
2438,82,56,1,3413.2
1518,76,78,1,2277.0
2004,55,67,0,2004.0
2765,92,45,0,2765.0
635,92,41,0,635.0
2369,60,73,1,3553.5
733,59,80,1,1099.5
2308,33,51,0,2308.0
775,19,57,1,1085.0
1560,28,83,1,2340.0
1970,52,90,0,1970.0
2960,49,39,0,2960.0
1719,37,30,0,1719.0
2255,26,69,0,2255.0
1772,99,22,0,1772.0
1272,98,10,0,1272.0
1652,99,74,0,1652.0
2717,40,42,0,2717.0
2251,80,47,0,2251.0
1714,38,34,0,1714.0
1124,77,35,1,1348.8
2452,87,86,1,3678.0
477,54,68,0,477.0
531,22,42,1,690.3000000000001
1000,16,50,1,1400.0
2172,28,39,1,2606.4
1465,112,66,1,2197.5
2536,35,58,1,3550.3999999999996
2849,60,57,1,3988.6
2743,45,81,0,2743.0
2263,46,58,0,2263.0
1718,72,56,1,2405.2
1015,108,65,1,1522.5
2869,55,74,0,2869.0
2288,119,21,1,2516.8
1446,86,78,1,2169.0
974,85,97,1,1461.0
2590,26,15,1,2590.0
1392,104,98,1,2088.0
2592,85,74,0,2592.0
1648,25,34,0,1648.0
902,105,10,1,902.0
2397,65,41,0,2397.0
1220,6,12,1,1220.0
2551,23,58,1,3571.3999999999996
2370,115,28,1,2607.0
597,64,69,1,895.5
2069,87,38,1,2482.7999999999997
2838,43,59,1,3973.2
1602,107,11,1,1602.0
1871,23,82,1,2806.5
2046,96,65,1,3069.0
2092,30,26,0,2092.0
1712,77,69,1,2568.0
2435,107,45,0,2435.0
877,18,70,0,877.0
1654,87,26,1,1819.4
1322,79,58,0,1322.0
819,97,85,1,1228.5
2604,21,69,1,3906.0
2997,57,29,1,3296.7000000000003
1520,103,59,1,2128.0
1350,23,12,0,1350.0
2736,91,52,0,2736.0
1677,45,66,1,2515.5
2643,44,59,0,2643.0
2257,82,77,0,2257.0
916,88,90,0,916.0
2058,115,59,1,2881.2
2265,47,46,0,2265.0
1541,40,55,0,1541.0
2332,51,51,0,2332.0
1214,42,24,1,1335.4
2675,7,42,0,2675.0
2300,50,89,0,2300.0
2663,48,20,1,2929.3
2462,84,29,0,2462.0
2494,91,33,1,2992.7999999999997
2771,6,73,1,4156.5
529,91,89,1,793.5
494,9,74,1,741.0
2355,117,97,1,3532.5
1193,109,97,1,1789.5
2234,57,82,0,2234.0
2516,31,95,1,3774.0
2083,21,85,0,2083.0
410,90,26,0,410.0
2265,40,98,1,3397.5
2997,112,70,0,2997.0
1111,45,24,0,1111.0
2470,77,60,0,2470.0
1214,49,36,1,1456.8
745,87,95,0,745.0
2749,20,83,0,2749.0
762,101,70,1,1143.0
2843,118,67,0,2843.0
2665,117,40,0,2665.0
2588,92,21,0,2588.0
1384,17,55,1,1937.6
2039,28,40,0,2039.0
1227,41,41,0,1227.0
755,66,41,1,981.5
1747,25,62,1,2620.5
2263,58,70,1,3394.5
526,114,55,0,526.0
